date,eps
2012-07-24,0.33
2012-10-25,0.31
2013-01-23,0.49
2013-04-23,0.36
2013-07-23,0.27
2013-10-28,0.3
2014-01-27,0.52
2014-04-23,0.42
2014-07-22,0.32
2014-10-20,0.36
2015-01-27,0.77
2015-04-27,0.58
2015-07-21,0.46
2015-10-27,0.49
2016-01-26,0.82
2016-04-26,0.48
2016-07-26,0.36
2016-10-25,0.42
2017-01-31,0.84
2017-05-02,0.53
2017-08-01,0.42
2017-11-02,0.52
2018-02-01,0.97
2018-05-01,0.68
2018-07-31,0.59
2018-11-01,0.73
2019-01-29,1.05
2019-04-30,0.62
2019-07-30,0.55
2019-10-30,0.76
2020-01-28,1.25
2020-04-30,0.64
2020-07-30,0.65
2020-10-29,0.73
2021-01-27,1.68
2021-04-28,1.4
2021-07-27,1.3
2021-10-28,1.24
2022-01-27,2.1
2022-04-28,1.52
2022-07-28,1.2
2022-10-27,1.29
2023-02-02,1.88
2023-05-04,1.52
2023-08-03,1.26
2023-11-02,1.46
2024-02-01,
2024-05-02,
2024-08-01,
2024-08-01,
